rt_id,Judge,tip,Category,Round,Heat,Stn,stanica,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,bm,turnir
1568,H,A,Boogie-Woogie-Main Class,Final - slow,1,369,4,0,0,0,0,0,0,0,143
1568,H,A,Boogie-Woogie-Main Class,Final - slow,2,257,4,0,0,0,0,0,0,0,143
1569,B,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,1,86,2,0,0,0,0,0,0,0,143
1569,B,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,2,90,2,0,0,0,0,0,0,0,143
1569,B,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,3,47,2,0,0,0,0,0,0,0,143
1569,B,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,4,63,2,0,0,0,0,0,0,0,143
1569,B,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,5,41,2,0,0,0,0,0,0,0,143
1569,C,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,1,86,3,0,0,0,0,0,0,0,143
1569,C,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,2,90,3,0,0,0,0,0,0,0,143
1569,C,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,3,47,3,0,0,0,0,0,0,0,143
1569,C,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,4,63,3,0,0,0,0,0,0,0,143
1569,C,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,5,41,3,0,0,0,0,0,0,0,143
1572,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,283,1,-25,-10,-35,-15,-15,-15,0,143
1572,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,362,1,-15,-5,-10,-10,-5,-50,0,143
1572,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,300,1,-25,-25,-35,-25,-25,-35,0,143
1572,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,179,1,-10,-15,-5,-25,-15,-35,0,143
1572,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,181,1,-25,-15,-10,-15,-10,-15,0,143
