anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,150,Rock'n'Roll-Juveniles,Final,1,135,FM,0.82,2.0,0.41,"[8.5, 6.5, 7.5, 7.5, 6.5, 8.5]"
,150,Rock'n'Roll-Juveniles,Final,1,135,FW,6.87,14.4,0.4770833333333333,"[-15.0, -25.0, -25.0, -35.0, -25.0, -15.0]"
,150,Rock'n'Roll-Juveniles,Final,1,135,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Juveniles,Final,1,135,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Juveniles,Final,2,182,DF,2.01,2.3,0.8739130434782608,"[10.0, 15.0, 12.5, 10.0, 10.0, 13.75]"
,150,Rock'n'Roll-Juveniles,Final,2,182,CO,1.57,2.0,0.785,"[7.0, 12.0, 9.0, 9.0, 8.0, 10.0]"
,150,Rock'n'Roll-Juveniles,Final,2,182,FM,0.73,2.0,0.365,"[7.5, 6.5, 5.0, 6.5, 6.5, 6.5]"
,150,Rock'n'Roll-Juveniles,Final,2,182,FW,7.64,14.4,0.5305555555555556,"[-15.0, -25.0, -15.0, -15.0, -35.0, -15.0]"
,150,Rock'n'Roll-Juveniles,Final,2,182,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Juveniles,Final,2,182,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Juveniles,Final,3,78,DF,1.83,2.3,0.7956521739130435,"[17.5, 17.5, 20.0, 15.0, 20.0, 16.25]"
,150,Rock'n'Roll-Juveniles,Final,3,78,CO,1.07,2.0,0.535,"[11.0, 12.0, 14.0, 12.0, 13.0, 11.0]"
,150,Rock'n'Roll-Juveniles,Final,3,78,FM,0.5,2.0,0.25,"[9.5, 9.5, 9.5, 8.5, 8.5, 8.5]"
,150,Rock'n'Roll-Juveniles,Final,3,78,FW,3.44,14.4,0.23888888888888887,"[-5.0, -5.0, -10.0, -15.0, -10.0, -10.0]"
,150,Rock'n'Roll-Juveniles,Final,3,78,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Juveniles,Final,3,78,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Juveniles,Final,4,7,DF,2.01,2.3,0.8739130434782608,"[13.75, 12.5, 12.5, 7.5, 12.5, 12.5]"
,150,Rock'n'Roll-Juveniles,Final,4,7,CO,0.69,2.0,0.345,"[8.0, 9.0, 8.0, 8.0, 7.0, 9.0]"
,150,Rock'n'Roll-Juveniles,Final,4,7,FM,0.5,2.0,0.25,"[7.5, 6.5, 7.5, 6.5, 7.5, 6.5]"
,150,Rock'n'Roll-Juveniles,Final,4,7,FW,6.87,14.4,0.4770833333333333,"[-25.0, -15.0, -15.0, -35.0, -25.0, -25.0]"
,150,Rock'n'Roll-Juveniles,Final,4,7,sm,0.94,2.3,0.40869565217391307,"[0.0, -2.0, 0.0, 0.0, 0.0, -2.0]"
,150,Rock'n'Roll-Juveniles,Final,4,7,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Juveniles,Final,5,214,DF,0.86,2.3,0.3739130434782609,"[10.0, 10.0, 8.75, 10.0, 11.25, 11.25]"
,150,Rock'n'Roll-Juveniles,Final,5,214,CO,1.6,2.0,0.8,"[7.0, 10.0, 5.0, 8.0, 7.0, 9.0]"
,150,Rock'n'Roll-Juveniles,Final,5,214,FM,0.69,2.0,0.345,"[8.5, 6.5, 7.5, 7.5, 7.5, 6.5]"
,150,Rock'n'Roll-Juveniles,Final,5,214,FW,3.73,14.4,0.25902777777777775,"[-25.0, -25.0, -25.0, -25.0, -25.0, -35.0]"
,150,Rock'n'Roll-Juveniles,Final,5,214,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Juveniles,Final,5,214,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Juveniles,Final,6,235,DF,1.33,2.3,0.5782608695652175,"[13.75, 15.0, 12.5, 12.5, 16.25, 13.75]"
,150,Rock'n'Roll-Juveniles,Final,6,235,CO,1.49,2.0,0.745,"[10.0, 12.0, 8.0, 9.0, 12.0, 11.0]"
,150,Rock'n'Roll-Juveniles,Final,6,235,FM,0.84,2.0,0.42,"[8.5, 8.5, 9.0, 7.5, 8.5, 6.5]"
,150,Rock'n'Roll-Juveniles,Final,6,235,FW,8.37,14.4,0.5812499999999999,"[-15.0, -10.0, -25.0, -35.0, -15.0, -25.0]"
,150,Rock'n'Roll-Juveniles,Final,6,235,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Juveniles,Final,6,235,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Juveniles,First round,1,78,DF,1.56,2.3,0.6782608695652175,"[11.25, 15.0, 16.25, 13.75, 13.75, 15.0]"
,150,Rock'n'Roll-Juveniles,First round,1,78,CO,1.71,2.0,0.855,"[9.0, 8.0, 9.0, 13.0, 10.0, 8.0]"
