anomaly,category name,round,heat,couple,criteria,stdev,threshold,raw data
,Rock'n'Roll-Juveniles,First round,4,182,FM,1.22,12.0,"[5.0, 8.5, 7.5, 6.5, 6.5, 7.5, 5.0]"
yes,Rock'n'Roll-Juveniles,First round,4,182,FW,12.16,12.0,"[-35.0, -15.0, -25.0, -25.0, -25.0, -10.0, -50.0]"
,Rock'n'Roll-Juveniles,First round,4,182,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,4,182,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,4,78,DF,1.99,2.0,"[13.75, 13.75, 17.5, 17.5, 17.5, 18.75, 18.75]"
,Rock'n'Roll-Juveniles,First round,4,78,CO,1.28,2.0,"[10.0, 13.0, 11.0, 14.0, 13.0, 12.0, 13.0]"
,Rock'n'Roll-Juveniles,First round,4,78,FM,0.25,12.0,"[9.0, 9.0, 9.0, 9.0, 8.5, 8.5, 8.5]"
,Rock'n'Roll-Juveniles,First round,4,78,FW,5.89,12.0,"[-10.0, -10.0, -25.0, -10.0, -15.0, -5.0, -15.0]"
,Rock'n'Roll-Juveniles,First round,4,78,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,4,78,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,1,149,DF,1.56,2.0,"[12.5, 11.25, 12.5, 13.75, 16.25, 15.0, 13.75]"
,Rock'n'Roll-Juveniles,Final,1,149,CO,1.16,2.0,"[10.0, 11.0, 10.0, 11.0, 12.0, 10.0, 8.0]"
,Rock'n'Roll-Juveniles,Final,1,149,FM,0.68,12.0,"[7.5, 7.5, 7.5, 9.0, 7.5, 7.5, 6.5]"
,Rock'n'Roll-Juveniles,Final,1,149,FW,7.56,12.0,"[-35.0, -15.0, -35.0, -15.0, -25.0, -25.0, -25.0]"
,Rock'n'Roll-Juveniles,Final,1,149,sm,1.98,2.3,"[-4.0, -2.0, -2.0, 0.0, -2.0, 0.0, -6.0]"
,Rock'n'Roll-Juveniles,Final,1,149,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,2,135,DF,1.45,2.0,"[12.5, 11.25, 12.5, 11.25, 12.5, 15.0, 10.0]"
,Rock'n'Roll-Juveniles,Final,2,135,CO,1.07,2.0,"[10.0, 10.0, 11.0, 9.0, 9.0, 12.0, 9.0]"
,Rock'n'Roll-Juveniles,Final,2,135,FM,0.45,12.0,"[7.5, 7.5, 7.5, 7.5, 7.5, 6.5, 6.5]"
,Rock'n'Roll-Juveniles,Final,2,135,FW,4.95,12.0,"[-25.0, -15.0, -25.0, -25.0, -15.0, -15.0, -25.0]"
,Rock'n'Roll-Juveniles,Final,2,135,sm,0.7,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0]"
,Rock'n'Roll-Juveniles,Final,2,135,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,3,182,DF,1.1,2.0,"[10.0, 12.5, 10.0, 10.0, 10.0, 11.25, 12.5]"
,Rock'n'Roll-Juveniles,Final,3,182,CO,1.81,2.0,"[9.0, 12.0, 10.0, 8.0, 9.0, 13.0, 8.0]"
,Rock'n'Roll-Juveniles,Final,3,182,FM,1.25,12.0,"[5.0, 8.5, 5.0, 5.0, 5.0, 6.5, 5.0]"
,Rock'n'Roll-Juveniles,Final,3,182,FW,11.65,12.0,"[-25.0, -15.0, -50.0, -35.0, -35.0, -15.0, -35.0]"
,Rock'n'Roll-Juveniles,Final,3,182,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,Final,3,182,bm,9.9,3.0,"[-10.0, -30.0, -10.0, -10.0, -30.0, -10.0, -30.0]"
,Rock'n'Roll-Juveniles,Final,4,235,DF,1.24,2.0,"[13.75, 15.0, 15.0, 12.5, 16.25, 15.0, 16.25]"
,Rock'n'Roll-Juveniles,Final,4,235,CO,1.03,2.0,"[11.0, 13.0, 12.0, 10.0, 12.0, 11.0, 13.0]"
,Rock'n'Roll-Juveniles,Final,4,235,FM,0.58,12.0,"[7.5, 9.0, 8.5, 7.5, 7.5, 7.5, 7.5]"
,Rock'n'Roll-Juveniles,Final,4,235,FW,4.52,12.0,"[-15.0, -15.0, -15.0, -15.0, -25.0, -15.0, -25.0]"
,Rock'n'Roll-Juveniles,Final,4,235,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,4,235,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,Final,5,153,DF,2.0,2.0,"[10.0, 12.5, 10.0, 8.75, 12.5, 15.0, 10.0]"
,Rock'n'Roll-Juveniles,Final,5,153,CO,1.98,2.0,"[10.0, 10.0, 8.0, 6.0, 9.0, 13.0, 9.0]"
,Rock'n'Roll-Juveniles,Final,5,153,FM,0.68,12.0,"[6.5, 6.5, 5.0, 6.5, 6.5, 7.5, 6.5]"
,Rock'n'Roll-Juveniles,Final,5,153,FW,8.39,12.0,"[-35.0, -25.0, -50.0, -25.0, -35.0, -25.0, -35.0]"
,Rock'n'Roll-Juveniles,Final,5,153,sm,0.7,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0]"
yes,Rock'n'Roll-Juveniles,Final,5,153,bm,3.5,3.0,"[0.0, 0.0, 0.0, 0.0, -10.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,6,78,DF,1.69,2.0,"[15.0, 15.0, 16.25, 16.25, 20.0, 17.5, 15.0]"
,Rock'n'Roll-Juveniles,Final,6,78,CO,1.29,2.0,"[13.0, 15.0, 13.0, 12.0, 15.0, 15.0, 12.0]"
,Rock'n'Roll-Juveniles,Final,6,78,FM,0.58,12.0,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.5, 7.5]"
,Rock'n'Roll-Juveniles,Final,6,78,FW,9.42,12.0,"[-10.0, -10.0, -25.0, -10.0, -10.0, -10.0, -35.0]"
,Rock'n'Roll-Juveniles,Final,6,78,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,6,78,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juniors,First round,1,150,DF,1.99,2.0,"[7.0, 9.0, 8.0, 4.0, 11.0, 7.0, 7.0]"
,Rock'n'Roll-Juniors,First round,1,150,CO,1.84,2.0,"[7.0, 9.0, 6.0, 5.0, 11.0, 7.0, 8.0]"
,Rock'n'Roll-Juniors,First round,1,150,FM,1.09,12.0,"[6.5, 5.0, 5.0, 5.0, 2.5, 5.0, 5.0]"
yes,Rock'n'Roll-Juniors,First round,1,150,FW,15.29,12.0,"[-35.0, -35.0, -50.0, -75.0, -35.0, -25.0, -50.0]"
,Rock'n'Roll-Juniors,First round,1,150,sm,0.99,2.3,"[0.0, 0.0, -2.0, -2.0, -2.0, -2.0, 0.0]"
,Rock'n'Roll-Juniors,First round,1,150,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juniors,First round,1,491,DF,1.59,2.0,"[12.0, 11.0, 16.0, 14.0, 13.0, 15.0, 13.0]"
,Rock'n'Roll-Juniors,First round,1,491,CO,1.39,2.0,"[10.0, 12.0, 14.0, 14.0, 13.0, 12.0, 14.0]"
,Rock'n'Roll-Juniors,First round,1,491,FM,0.45,12.0,"[9.5, 9.0, 9.5, 10.0, 8.5, 9.0, 9.0]"
,Rock'n'Roll-Juniors,First round,1,491,FW,4.52,12.0,"[-5.0, -15.0, -10.0, 0.0, -10.0, -5.0, -10.0]"
,Rock'n'Roll-Juniors,First round,1,491,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juniors,First round,1,491,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juniors,First round,2,118,DF,1.5,2.0,"[10.0, 12.0, 12.0, 9.0, 10.0, 8.0, 12.0]"
,Rock'n'Roll-Juniors,First round,2,118,CO,1.55,2.0,"[9.0, 9.0, 11.0, 9.0, 13.0, 8.0, 10.0]"
,Rock'n'Roll-Juniors,First round,2,118,FM,0.64,12.0,"[7.5, 7.5, 7.5, 8.5, 6.5, 7.5, 8.5]"
,Rock'n'Roll-Juniors,First round,2,118,FW,8.02,12.0,"[-25.0, -15.0, -35.0, -15.0, -25.0, -15.0, -10.0]"
,Rock'n'Roll-Juniors,First round,2,118,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juniors,First round,2,118,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juniors,First round,2,114,DF,0.9,2.0,"[6.0, 7.0, 6.0, 5.0, 5.0, 4.0, 5.0]"
,Rock'n'Roll-Juniors,First round,2,114,CO,1.25,2.0,"[6.0, 8.0, 5.0, 6.0, 5.0, 5.0, 8.0]"
,Rock'n'Roll-Juniors,First round,2,114,FM,1.51,12.0,"[5.0, 2.5, 5.0, 2.5, 2.5, 6.5, 5.0]"
,Rock'n'Roll-Juniors,First round,2,114,FW,8.75,12.0,"[-50.0, -50.0, -50.0, -50.0, -50.0, -25.0, -50.0]"
