anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,181,Acro 1,2.36,12.0,0.19666666666666666,"[-10.0, -10.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,181,Acro 2,10.8,12.0,0.9,"[-15.0, -35.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,181,Acro 3,6.24,12.0,0.52,"[-15.0, -25.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,181,Acro 4,11.79,12.0,0.9824999999999999,"[-25.0, -50.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,181,Acro 5,10.8,12.0,0.9,"[-10.0, -35.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,181,Acro 6,7.07,12.0,0.5891666666666667,"[-10.0, -25.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,362,Acro 1,4.71,12.0,0.3925,"[-10.0, 0.0, 0.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,362,Acro 2,4.71,12.0,0.3925,"[-10.0, -10.0, 0.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,362,Acro 3,2.36,12.0,0.19666666666666666,"[-10.0, -10.0, -5.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,362,Acro 4,0.0,12.0,0.0,"[-15.0, -15.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,362,Acro 5,4.08,12.0,0.34,"[-10.0, 0.0, -5.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,362,Acro 6,2.36,12.0,0.19666666666666666,"[-5.0, -10.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,179,Acro 1,10.27,12.0,0.8558333333333333,"[-15.0, -25.0, 0.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,179,Acro 2,0.0,12.0,0.0,"[-10.0, -10.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,179,Acro 3,2.36,12.0,0.19666666666666666,"[-5.0, 0.0, 0.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,179,Acro 4,2.36,12.0,0.19666666666666666,"[-10.0, -15.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,179,Acro 5,0.0,12.0,0.0,"[-10.0, -10.0, -10.0]"
yes,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,179,Acro 6,16.5,12.0,1.375,"[-35.0, -75.0, -50.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,224,Acro 1,2.36,12.0,0.19666666666666666,"[-10.0, -15.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,224,Acro 2,2.36,12.0,0.19666666666666666,"[-10.0, -15.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,224,Acro 3,6.24,12.0,0.52,"[-10.0, -15.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,224,Acro 4,6.24,12.0,0.52,"[-10.0, -15.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,224,Acro 5,7.07,12.0,0.5891666666666667,"[-25.0, -25.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,224,Acro 6,2.36,12.0,0.19666666666666666,"[-10.0, -15.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,363,Acro 1,4.08,12.0,0.34,"[-10.0, -5.0, 0.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,363,Acro 2,4.08,12.0,0.34,"[-5.0, 0.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,363,Acro 3,2.36,12.0,0.19666666666666666,"[-5.0, 0.0, 0.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,363,Acro 4,2.36,12.0,0.19666666666666666,"[-5.0, -5.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,363,Acro 5,0.0,12.0,0.0,"[-10.0, -10.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,363,Acro 6,4.71,12.0,0.3925,"[-10.0, 0.0, 0.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,225,Acro 1,6.24,12.0,0.52,"[-25.0, -15.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,225,Acro 2,4.71,12.0,0.3925,"[-15.0, -25.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,225,Acro 3,6.24,12.0,0.52,"[-10.0, -25.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,225,Acro 4,8.16,12.0,0.68,"[-15.0, -25.0, -35.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,225,Acro 5,2.36,12.0,0.19666666666666666,"[-15.0, -15.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,225,Acro 6,4.71,12.0,0.3925,"[-25.0, -25.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,Hope round,1,224,Acro 1,4.71,12.0,0.3925,"[-25.0, -25.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,Hope round,1,224,Acro 2,0.0,12.0,0.0,"[-15.0, -15.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,Hope round,1,224,Acro 3,6.24,12.0,0.52,"[-15.0, -10.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,Hope round,1,224,Acro 4,2.36,12.0,0.19666666666666666,"[-15.0, -15.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,Hope round,1,224,Acro 5,2.36,12.0,0.19666666666666666,"[-15.0, -15.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,Hope round,1,224,Acro 6,0.0,12.0,0.0,"[-1.0, -1.0, -1.0]"
,144,Rock'n'Roll-Main Class Contact Style,Hope round,1,317,Acro 1,2.36,12.0,0.19666666666666666,"[-15.0, -15.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,Hope round,1,317,Acro 2,7.07,12.0,0.5891666666666667,"[-15.0, -15.0, 0.0]"
,144,Rock'n'Roll-Main Class Contact Style,Hope round,1,317,Acro 3,6.24,12.0,0.52,"[-25.0, -15.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,Hope round,1,317,Acro 4,4.71,12.0,0.3925,"[-25.0, -15.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,Hope round,1,317,Acro 5,0.0,12.0,0.0,"[-15.0, -15.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,Hope round,1,317,Acro 6,0.0,12.0,0.0,"[-1.0, -1.0, -1.0]"
,144,Rock'n'Roll-Main Class Contact Style,Hope round,2,172,Acro 1,4.71,12.0,0.3925,"[-25.0, -15.0, -25.0]"
